spotify_id,Song,Artist,Rank,Genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2BEuUkh9r8NCYiVvSKZIol,The Revolution Will Not Be Televised,Gil Scott-Heron,34,soul,0.745,0.549,-5.137,0.203,0.337,0,0.152,0.788,77.892
5GYcaVfaFBHe2gzA6Oybgj,Me and Mrs. Jones,Billy Paul,35,soul,0.707,0.795,-5.7,0.234,0.537,0,0.0922,0.612,187.927
4U2b99X9hSSDjPbHCpIeJj,Ain't That A Shame? - 2002 Digital Remaster,Fats Domino,36,soul,0.753,0.89,-5.022,0.187,0.44,6.82E-06,0.0854,0.283,87.015
46EuzanXhKwIc7755wLAvS,Home Again,Michael Kiwanuka,37,soul,0.648,0.52,-8.543,0.0249,0.674,0.00129,0.0821,0.492,102.975
7pL0X8YsHBnsHIJaBIjhiV,People Make the World Go Round,The Stylistics,38,soul,0.817,0.774,-4.341,0.153,0.543,1.61E-05,0.394,0.884,140.008
2DunIaFgxhhLktcs07CxAM,I Just Dropped In To See What Condition My Condition Is In,Sharon Jones & The Dap-Kings,39,soul,0.762,0.964,-2.981,0.138,0.353,0.00278,0.489,0.846,140.034
6jWkZvd1URGktyTTwcpPpB,My Girl,The Temptations,40,soul,0.62,0.813,-4.833,0.161,0.449,1.48E-06,0.21,0.37,139.587
4T9Jpft8jvZAP57aE3VdCt,Down In New Orleans,Dr. John,41,soul,0.786,0.797,-4.063,0.0414,0.233,0,0.0861,0.454,95.014
1L6JGepB2558f8XSYsw36G,Hang Up My Rock And Roll Shoes,Chuck Willis,42,soul,0.496,0.549,-8.067,0.0286,0.128,0.00226,0.237,0.372,80.03
79fXdfpOPGaXO1gfdq2onl,All of Me,Billie Holiday,43,soul,0.192,0.0119,-41.808,0.0401,0.969,0.944,0.12,0.0753,69.045
4GZRedE4k9Abk5ZTcJCu8C,(If Loving You Is Wrong) I Don't Want To Be Right,Millie Jackson,44,soul,0.166,0.0577,-27.78,0.049,0.901,0.449,0.391,0.0764,140.099
2vXk7PcNLLXsdnVaoMxzTj,Tutti Frutti,Little Richard,45,soul,0.687,0.342,-12.378,0.0409,0.523,0.93,0.35,0.169,105.318
1UE2mIj6uy9Tip2cvQx5xu,Rescue Me - Single Version,Fontella Bass,46,soul,0.166,0.0577,-27.78,0.049,0.901,0.449,0.391,0.0764,140.099
35w6fQ0Wnuv7aIryRx7gTq,B-A-B-Y,Carla Thomas,47,soul,0.166,0.0577,-27.78,0.049,0.901,0.449,0.391,0.0764,140.099
6bFrlORduDtYQ9BlPenV3o,Love Me or Leave Me: My Baby Just Cares For Me,Nina Simone,48,soul,0.469,0.259,-15.335,0.0376,0.246,0.872,0.319,0.0373,110.601
4yYA4WFP7ygisiZHbPTIwc,High Note,Mavis Staples,49,soul,0.469,0.259,-15.335,0.0376,0.246,0.872,0.319,0.0373,110.601
1p2Th3PESzyLj6KpAeIT5r,Anna (Go To Him),Arthur Alexander,50,soul,0.469,0.259,-15.335,0.0376,0.246,0.872,0.319,0.0373,110.601
,,,,,,,,,,,,,
