spotify_id,Song,Artist,Rank,Genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4VOySTQM7rAgem85lhM9rZ,Fiction,Beast,8,k-pop,0.66,0.866,-3.786,0.071,0.271,0,0.386,0.437,128.04
1CSceRZ3QvI4JczMF1PAil,Goodbye,2NE1,9,k-pop,0.653,0.488,-4.042,0.0328,0.329,0,0.163,0.492,151.594
0tejqLrXfsXT5SEDld8fKk,For You,BTOB,10,k-pop,0.634,0.832,-3.44,0.0355,0.237,0,0.085,0.636,79.996
0fp7yXkUbwmM8ML6sWu6HW,Chained Up,VIXX,11,k-pop,0.728,0.941,-2.044,0.188,0.0955,0,0.328,0.923,92.073
6lM6yIDZ7kxFsgQCCfaLE2,Monster,EXO,12,k-pop,0.618,0.76,-4.312,0.0596,0.0066,0,0.127,0.541,150
2klCjJcucgGQysgH170npL,4 Walls,f(x),13,k-pop,0.735,0.849,-4.308,0.129,0.212,0.0000294,0.0608,0.223,125.972
5V5m1uts8SWveTW1GuEsKC,MIRROR,MBLAQ,14,k-pop,0.569,0.771,-5.2,0.0946,0.266,0,0.131,0.483,139.715
0sYbRzhGQC0NRTVvwe8n3H,Hate,4Minute,15,k-pop,0.68,0.904,-3.871,0.146,0.0592,0,0.443,0.596,149.924
2Oltx0Zw8Tnkw23Ksdpxrc,What's Happening?,B1A4,16,k-pop,0.629,0.742,-3.57,0.0567,0.00406,0,0.168,0.667,135.026
17gohmCYDlZSYxp41xqVQ8,Lion Heart,Girls' Generation,17,k-pop,0.754,0.788,-3.175,0.0322,0.129,0.00274,0.0775,0.961,124.992
3ozrVhZSKNcv8fMRAnHIU3,Stalker,U-KISS,18,k-pop,0.827,0.778,-2.816,0.0533,0.00236,0,0.0741,0.673,116.971
24psBRmEw3kHjBGZfl1dmb,Ah-Choo,Lovelyz,19,k-pop,0.729,0.898,-1.029,0.0391,0.315,0,0.107,0.517,126.977
5ZJzPIytI1OgEYEVGx5lAo,Can You Feel It?,SUPER JUNIOR-D&E,20,k-pop,0.785,0.962,-2.683,0.137,0.236,0,0.255,0.949,128.042
3C8jNNWMJcsQLZZV5R3yTi,Twinkle,Girls' Generation-TTS,21,k-pop,0.799,0.886,-2.592,0.0486,0.257,0,0.334,0.963,110.004
6BKOhvRPY54uvfqWwg7MKi,Up & Down,EXID,22,k-pop,0.714,0.812,-2.703,0.0351,0.00189,0.00000196,0.229,0.377,112.018
60oyvXjv0nwZnRrwZvZqUm,FACE,NU'EST,23,k-pop,0.789,0.88,-3.235,0.064,0.0226,0,0.386,0.615,123.97
1jbHCJ8EtvoKfMMYy3bAlN,Mamma Mia,KARA,24,k-pop,0.697,0.927,-2.268,0.0772,0.0424,0,0.1,0.8,128.084
2OafHc3DmFE49MqNhQMi0z,Something,Girl's Day,25,k-pop,0.813,0.683,-3.813,0.0285,0.179,0,0.0748,0.668,107.95
4uwNijtRjJtSXh4gtKWybp,GOOD NIGHT (feat.REDDY),Se7en,26,k-pop,0.683,0.769,-5.929,0.109,0.199,0,0.262,0.435,100.404
2Gq8bwrWXzc1gW9g2EnHTh,Excuse Me,AOA,27,k-pop,0.744,0.852,-2.79,0.0365,0.11,0,0.0634,0.812,123.938
7AvXrOVEVRcfXxme2wo6Im, Russian Roulette,Red Velvet,28,k-pop,0.726,0.903,-2.277,0.0357,0.055,0.000225,0.158,0.958,129.986
4H0PF0pPJrD9gNBq0jjJja,White Night,UP10TION,29,k-pop,0.695,0.894,-2.202,0.135,0.0234,0,0.119,0.755,98.044
5SusX17QvBBkH7WfMbTU0j,NoNoNo,Apink,30,k-pop,0.74,0.908,-2.668,0.0327,0.106,0,0.0637,0.745,105.996
6VJhf9l4ALDquID0bN51QQ,Very Very Very,I.O.I,31,k-pop,0.745,0.965,-1.517,0.06,0.146,0.00000229,0.0796,0.766,102.994
7eztAMY4KYbJo6Rty97sgb,Thatâ€™s My Jam,B.A.P,32,k-pop,0.726,0.937,-3.288,0.173,0.0799,0,0.399,0.79,128.022
5S5gGOsUarzRXKoaSstwba,Me Like Yuh,Jay Park,33,k-pop,0.715,0.831,-6.161,0.0729,0.223,0.00000384,0.132,0.805,100.006
7ui8D91c2tfgFtGtF6LlXt,ë‹¤ì³ Hurt Locker,9 Muses,34,k-pop,0.697,0.899,-3.349,0.0946,0.172,0,0.36,0.81,121.994
4Oqm4LXiG9MekVf3fnDyPR,Press Your Number,TAEMIN,35,k-pop,0.656,0.78,-3.609,0.058,0.186,0,0.209,0.613,120.021
0Id5E2O6g3IlGtsl4BDStY,Wedding Dress,TaeYang,36,k-pop,0.728,0.669,-4.73,0.0346,0.122,0,0.129,0.707,133.961
5zbxw72g850H4fNMFEO7PC,Someone Like U,Dalshabet,37,k-pop,0.742,0.971,-1.687,0.0671,0.3,0,0.04,0.964,121.005
2kl3pn4Xhvx5Tvs8T9wNqt,JANUS,BOYFRIEND,38,k-pop,0.518,0.947,-3.447,0.0781,0.0113,0,0.129,0.743,94.012
2JTjDYA0vfx8sp5XMTbeqU,Hobgoblin,CLC,39,k-pop,0.621,0.873,-2.888,0.103,0.0194,0,0.488,0.401,169.91
7czyJpFnAl18Bwye8wETky,RHYTHM TA,iKON,40,k-pop,0.762,0.819,-4.459,0.0897,0.129,0,0.334,0.606,81.981
1su62pO1ShAp7F4JlY5vuo,Rocking,Teen Top,41,k-pop,0.695,0.976,-3.241,0.103,0.0186,0,0.11,0.785,128.047
6gorwqDJ7bsdCHcVs5uS9u,HERO,Monsta X,42,k-pop,0.683,0.893,-3.086,0.162,0.0754,0,0.226,0.909,146.082
6eqX1nvFkgyumsATfnq6bo,Venus,HELLOVENUS,43,k-pop,0.66,0.94,-1.017,0.162,0.045,0,0.285,0.67,146.061
4tSGhf2TB2t6jKlW8rN4Px,Wonderland,Jessica,44,k-pop,0.68,0.921,-2.266,0.211,0.231,0,0.39,0.64,103.992
0GqvfTRhP8HUn16mQx5Hxi,Vibrato,Stellar,45,k-pop,0.699,0.944,-2.907,0.166,0.11,0,0.735,0.853,115.96
7lJAe9Ykt39TZKYyDHqPk8,í• ë§ ìžˆì–´ìš” Gotta Talk to U,SEUNGRI,46,k-pop,0.745,0.704,-5.444,0.0351,0.119,0,0.277,0.752,127.997
4ohFoNx1yHERjm06A0h2s8,Liar Liar,OH MY GIRL,47,k-pop,0.7,0.907,-3.09,0.0531,0.155,0,0.311,0.774,100.055
1OIb1AalkGikhzCRbWgchd,Secret,WJSN,48,k-pop,0.692,0.969,-3.213,0.0678,0.167,0,0.301,0.762,111.495
7n5eQJYX7e6H5gkzgyEfQG,Can You Hear My Heart (feat. LEE HI),Epik High,49,k-pop,0.694,0.592,-6.406,0.0367,0.742,0,0.124,0.305,95.047
45qSSH075SHoIV9cSn2wZK,Will You Kiss Me,G.NA,50,k-pop,0.631,0.774,-3.947,0.0523,0.259,0,0.222,0.336,91.994
55tGzbf7CA1fnnlTy8HgDX,The Pale King,Testament,1,metal,0.248,0.979,-4.483,0.0785,0.0000467,0.216,0.27,0.298,156.015
0QMfoF1pm0nzVkvojPfrzN,Run to the Hills - 1998 Remastered Version,Iron Maiden,2,metal,0.224,0.954,-4.646,0.0912,0.00788,0.000524,0.235,0.48,173.191
2hsNfW4fcDhQtXiyMEGvUc,A Dangerous Meeting,Mercyful Fate,3,metal,0.284,0.98,-3.642,0.0889,0.016,0.734,0.36,0.368,138.506
01Mpj13vURSO3cCLprPt5T,Raining Blood,Slayer,4,metal,0.227,0.995,-4.383,0.168,0.000489,0.331,0.128,0.0379,88.777
3OIUJqlQTntHtsp13FqDd2,Satan Is Real,Kreator,5,metal,0.43,0.968,-4.551,0.0775,0.000041,0.0409,0.12,0.255,101.59
7nBtCYzGh2hPwJGzUiDc4a,Mean,Anvil,6,metal,0.327,0.98,-4.436,0.0971,0.0000321,0.0152,0.0895,0.441,198.987
13Ntmgf2zirinJEJy4s5jb,I Want Out,Helloween,7,metal,0.477,0.859,-8.625,0.0387,0.000333,0.000155,0.265,0.629,91.009
2dbOYFfS7r7NAzquRvji9A,Balls to the Wall,Accept,8,metal,0.544,0.739,-7.383,0.0517,0.00392,0.000143,0.168,0.328,118.287
